Process,Damage_Pathway,Impact_Factor_Input,Impact_Factor,Impact_Factor_Unit,ID,ID Used Y/N,Scope,CA ID,Emission Source,Energy Content Value,Energy Content Unit,Emission Factor Value,Emission Factor source,EF,Activity data UOM,"Emission fcator 
UOM"
"waste treatment, textiles, at landfill",Marine eutrophication,1.0 kg,-3.0067631970501237e-7,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Photochemical Ozone Formation,1.0 kg,0.007610590463366838,kg NOx eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Terrestrial acidification,1.0 kg,4.673649877578044e-4,kg SO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Terrestrial ecotoxicity,1.0 kg,0.012225877957637946,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Water consumption,1.0 kg,-0.03943124267896127,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Freshwater ecotoxicity,1.0 kg,-2.5735620453706386e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Freshwater eutrophication,1.0 kg,5.8563590529000004e-8,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Global warming,1.0 kg,1.0852371415650652,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Land use,1.0 kg,0.00142164731469318,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Marine ecotoxicity,1.0 kg,-3.3919652667441046e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Marine eutrophication,1.0 kg,-2.3942091726701046e-7,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Photochemical Ozone Formation,1.0 kg,0.00627991739730919,kg NOx eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Terrestrial acidification,1.0 kg,3.895565898618433e-4,kg SO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Terrestrial ecotoxicity,1.0 kg,0.011690651250975662,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, wood and woodwaste, at landfill",Water consumption,1.0 kg,-0.03206568820971973,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Freshwater ecotoxicity,1.0 m3,0.0253998977843855,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Freshwater eutrophication,1.0 m3,7.64128572506e-5,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Global warming,1.0 m3,2.607922141918548,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Land use,1.0 m3,0.011141714741174901,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Marine ecotoxicity,1.0 m3,0.0367150419073266,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Marine eutrophication,1.0 m3,6.255502732097809e-6,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Photochemical Ozone Formation,1.0 m3,0.0024088580021186016,kg NOx eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Terrestrial acidification,1.0 m3,0.001781028274045481,kg SO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Terrestrial ecotoxicity,1.0 m3,3.0655440480102003,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water and Wastewater Melbourne,Water consumption,1.0 m3,2.025476176557688,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
general waste at landfill,Freshwater ecotoxicity,1.0 kg,-5.158600016382928e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
general waste at landfill,Freshwater eutrophication,1.0 kg,-8.6299265538625e-8,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
general waste at landfill,Global warming,1.0 kg,1.9029683409705012,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
general waste at landfill,Land use,1.0 kg,0.0014059357247794,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
general waste at landfill,Marine ecotoxicity,1.0 kg,-6.956557316280927e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
general waste at landfill,Marine eutrophication,1.0 kg,-4.579516235633154e-7,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
